Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Tipo
192.168.100.15-23.41.255.74-49815-443-6,192.168.100.15,49815,23.41.255.74,443,6,21/01/2023 12:59:42 PM,32637112,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0919198978144879,16318556.0,23077875.130283725,32637078.0,34.0,32637078.0,32637078.0,0.0,32637078.0,32637078.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,0.0612799318763253,0.0306399659381626,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,1021,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
192.168.100.15-66.110.49.114-49805-443-6,192.168.100.15,49805,66.110.49.114,443,6,21/01/2023 12:58:36 PM,60482877,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,0.0330672100799702,0.0661344201599404,20160959.0,34502604.9698531,60001135.0,235221.0,0.0,0.0,0.0,0.0,0.0,60482877.0,30241438.5,42435199.74401691,60247656.0,235221.0,0,0,0,0,20,60,0.0165336050399851,0.0496008151199553,0.0,1.0,0.6,0.5477225575051661,0.2999999999999999,0,0,0,0,1,0,0,0,3.0,0.75,1.0,0.3333333333333333,0,0,0,0,0,0,1,1,3,1,-1,63540,1,0,235221.0,0.0,235221.0,235221.0,60001135.0,0.0,60001135.0,60001135.0,No Label,multimedia
192.168.100.1-239.255.255.250-35525-1900-17,192.168.100.1,35525,239.255.255.250,1900,17,21/01/2023 12:58:34 PM,64953693,7,1,928.0,132.0,133.0,132.0,132.57142857142858,0.5345224838248464,132.0,132.0,132.0,0.0,16.319318441216268,0.1231646674808775,9279099.0,22954283.75512413,61322694.0,255841.0,64697852.0,10782975.333333334,24764514.15705225,61322694.0,259547.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,8,0.1077690840457678,0.0153955834351096,132.0,133.0,132.44444444444446,0.5270462766947243,0.2777777777777718,0,0,0,0,0,0,0,0,0.0,149.0,132.57142857142858,132.0,0,0,0,0,0,0,7,928,1,132,-1,-1,7,0,1815470.0,0.0,1815470.0,1815470.0,61322694.0,0.0,61322694.0,61322694.0,No Label,multimedia
192.168.100.15-66.110.49.116-49681-443-6,192.168.100.15,49681,66.110.49.116,443,6,21/01/2023 12:59:30 PM,60430003,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.5773502691896257,0.033096142656157,0.0661922853123141,20143334.333333336,34526005.99135186,60010532.0,208196.0,0.0,0.0,0.0,0.0,0.0,60430003.0,30215001.5,42431676.93803304,60218728.0,211275.0,0,0,0,0,20,60,0.0165480713280785,0.0496442139842356,0.0,1.0,0.6,0.5477225575051661,0.2999999999999999,0,0,0,0,1,0,0,0,3.0,0.75,1.0,0.3333333333333333,0,0,0,0,0,0,1,1,3,1,-1,63952,1,0,211275.0,0.0,211275.0,211275.0,60010532.0,0.0,60010532.0,60010532.0,No Label,multimedia
192.168.100.15-52.226.139.121-49824-443-6,192.168.100.15,49824,52.226.139.121,443,6,21/01/2023 12:59:59 PM,928919,11,13,2321.0,4849.0,1105.0,0.0,211.0,325.22669017164014,1412.0,0.0,373.0,562.594880886771,7718.649311726856,25.836483051805377,40387.78260869564,71366.41657986333,173322.0,0.0,755895.0,75589.5,93722.35556774416,216470.0,84.0,883325.0,73610.41666666666,89509.73254086886,179440.0,0.0,0,0,0,0,220,284,11.84172139874413,13.994761653061246,0.0,1412.0,286.8,460.88375251611257,212413.83333333328,0,1,0,0,0,0,0,0,1.0,298.75,211.0,373.0,0,0,0,0,0,0,11,2321,13,4849,-1,7699,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,21/01/2023 12:59:39 PM,111749383,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2147662864501006,4858668.826086957,9654861.14296515,29424481.0,292963.0,110921300.0,5041877.2727272725,9841059.519296212,29424481.0,292963.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.2058176911813464,0.0089485952687541,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,23,0,1,0,-1,-1,0,0,6132153.666666667,284102.9006827162,6370494.0,5817766.0,29151807.666666668,241782.65089607512,29424481.0,28963550.0,No Label,multimedia
192.168.100.3-224.0.0.251-5353-5353-17,192.168.100.3,5353,224.0.0.251,5353,17,21/01/2023 01:00:01 PM,100146948,5,1,470.0,94.0,94.0,94.0,94.0,0.0,94.0,94.0,94.0,0.0,5.631724293784769,0.0599119605721783,20029389.6,56085.06256838831,20070394.0,19967949.0,80178994.0,20044748.5,51199.677046507495,20070394.0,19967949.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,8,0.0499266338101486,0.0099853267620297,94.0,94.0,94.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,109.66666666666669,94.0,94.0,0,0,0,0,0,0,5,470,1,94,-1,-1,5,0,0.0,0.0,0.0,0.0,20029389.6,56085.06256838831,20070394.0,19967949.0,No Label,multimedia
189.1.174.47-192.168.100.15-443-49675-6,192.168.100.15,49675,189.1.174.47,443,6,21/01/2023 01:00:00 PM,111013013,14,16,11.0,1.0,1.0,0.0,0.7857142857142857,0.42581531362632,1.0,0.0,0.0625,0.25,0.1080954356224886,0.2702385890562217,3828034.931034482,4915856.508856838,10015271.0,36.0,100848696.0,7757592.000000001,4404407.802910209,10095080.0,10774.0,111013013.0,7400867.533333333,4582913.556928853,10093293.0,30875.0,0,0,0,0,280,464,0.1261113415595701,0.1441272474966516,0.0,1.0,0.4193548387096775,0.501610310127101,0.2516129032258064,0,0,0,0,1,0,0,0,1.0,0.4333333333333333,0.7857142857142857,0.0625,0,0,0,0,0,0,14,11,16,1,-1,501,11,0,77102.27272727272,2612.729572340358,82735.0,73428.0,10006970.363636363,5906.109756391704,10015271.0,10000691.0,No Label,multimedia
192.168.100.15-66.203.125.13-49701-443-6,66.203.125.13,443,192.168.100.15,49701,6,21/01/2023 01:00:07 PM,91774315,7,5,1152.0,1756.0,384.0,0.0,164.57142857142858,205.25663378874196,384.0,343.0,351.2,18.335757415498275,31.686425553816445,0.130755538736519,8343119.545454545,14051513.82072895,30779033.0,797.0,91497307.0,15249551.166666668,16399801.358207328,30779033.0,269639.0,91505986.0,22876496.5,15257035.419527097,31055309.0,1529.0,0,1,0,0,140,100,0.0762740642629694,0.0544814744735496,0.0,384.0,253.23076923076923,176.59754332292482,31186.692307692312,0,0,0,1,1,0,0,0,0.0,274.3333333333333,164.57142857142858,351.2,0,0,0,0,0,0,7,1152,5,1756,-1,64184,3,0,284645.0,19952.559409759942,307288.0,269639.0,30216897.33333333,564699.7298443957,30779033.0,29649668.0,No Label,multimedia
192.168.100.15-38.113.165.138-49826-443-6,192.168.100.15,49826,38.113.165.138,443,6,21/01/2023 01:00:25 PM,61093879,11,9,1381.0,656.0,573.0,0.0,125.54545454545456,190.97505786691812,313.0,0.0,72.88888888888889,107.17444243433744,33.342129086287024,0.3273650376660483,3215467.3157894737,13752686.95524521,60005522.0,0.0,60684335.0,6068433.499999999,19041023.55483828,60259558.0,80.0,61093879.0,7636734.875,21242556.53679063,60208668.0,0.0,0,0,0,0,220,196,0.1800507707163265,0.1473142669497217,0.0,573.0,97.0,154.9532187468205,24010.500000000007,0,1,0,0,0,0,0,0,0.0,101.85,125.54545454545456,72.88888888888889,0,0,0,0,0,0,11,1381,9,656,-1,63658,9,0,885211.0,0.0,885211.0,885211.0,60005522.0,0.0,60005522.0,60005522.0,No Label,multimedia
