Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Tipo
192.168.100.15-38.113.165.138-49687-443-6,38.113.165.138,443,192.168.100.15,49687,6,21/01/2023 12:51:24 PM,1,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,31000000.0,3000000.0,0.5,0.7071067811865476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,2000000.0,1000000.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,63414,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
189.1.174.47-192.168.100.15-443-49675-6,192.168.100.15,49675,189.1.174.47,443,6,21/01/2023 12:49:54 PM,111067313,14,16,11.0,1.0,1.0,0.0,0.7857142857142857,0.4258153136263201,1.0,0.0,0.0625,0.25,0.108042588551683,0.2701064713792077,3829907.3448275873,4915695.885926007,10015896.0,37.0,100954696.0,7765745.846153846,4403419.722486507,10157891.0,18743.0,111067313.0,7404487.533333333,4593806.076348594,10150540.0,10190.0,0,0,0,0,280,464,0.1260496866436302,0.1440567847355774,0.0,1.0,0.4193548387096774,0.501610310127101,0.2516129032258065,0,0,0,0,1,0,0,0,1.0,0.4333333333333333,0.7857142857142857,0.0625,0,0,0,0,0,0,14,11,16,1,-1,501,11,0,81750.54545454546,20112.22901303402,141995.0,72005.0,10008607.0,4580.869633595677,10015896.0,10002879.0,No Label,multimedia
192.168.100.3-224.0.0.251-5353-5353-17,192.168.100.3,5353,224.0.0.251,5353,17,21/01/2023 12:50:01 PM,100045455,4,1,376.0,94.0,94.0,94.0,94.0,0.0,94.0,94.0,94.0,0.0,4.697864585652591,0.0499772828260914,25011363.75,10018650.439404448,40039152.0,19965544.0,79972608.0,26657536.0,11588819.46017143,40039152.0,19965544.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,8,0.0399818262608731,0.0099954565652182,94.0,94.0,94.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,112.8,94.0,94.0,0,0,0,0,0,0,4,376,1,94,-1,-1,4,0,0.0,0.0,0.0,0.0,25011363.75,10018650.439404448,40039152.0,19965544.0,No Label,multimedia
192.168.100.15-66.203.125.13-49701-443-6,66.203.125.13,443,192.168.100.15,49701,6,21/01/2023 12:50:03 PM,92267626,6,5,768.0,1756.0,384.0,0.0,128.0,198.29674732581972,384.0,343.0,351.2,18.335757415498275,27.3552069064831,0.1192184136177948,9226762.6,14610134.133551167,31250616.0,820.0,91987622.0,18397524.4,16559156.80806708,31250616.0,268640.0,92000169.0,23000042.25,15346211.620170029,31520644.0,2597.0,0,1,0,0,120,100,0.0650282256097062,0.0541901880080885,0.0,384.0,242.33333333333331,179.82685274924037,32337.69696969697,0,0,0,1,1,0,0,0,0.0,264.3636363636364,128.0,351.2,0,0,0,0,0,0,6,768,5,1756,-1,64184,2,0,275637.3333333333,5353.25642327484,280004.0,269665.0,30390691.33333333,823303.7699126205,31250616.0,29609693.0,No Label,multimedia
192.168.100.1-239.255.255.250-35525-1900-17,192.168.100.1,35525,239.255.255.250,1900,17,21/01/2023 12:50:09 PM,64957033,7,1,928.0,132.0,133.0,132.0,132.57142857142858,0.5345224838248464,132.0,132.0,132.0,0.0,16.318479324632946,0.1231583345255316,9279576.142857142,22953052.310431585,61320316.0,257929.0,64699104.0,10783184.0,24763281.38794962,61320316.0,258087.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,8,0.1077635427098402,0.0153947918156914,132.0,133.0,132.44444444444446,0.5270462766947243,0.2777777777777718,0,0,0,0,0,0,0,0,0.0,149.0,132.57142857142858,132.0,0,0,0,0,0,0,7,928,1,132,-1,-1,7,0,1818328.0,0.0,1818328.0,1818328.0,61320316.0,0.0,61320316.0,61320316.0,No Label,multimedia
192.168.100.15-62.67.238.152-49803-443-6,192.168.100.15,49803,62.67.238.152,443,6,21/01/2023 12:52:30 PM,1497160,13,28,2034.0,11279.0,1130.0,0.0,156.46153846153848,323.16600877996007,1300.0,0.0,402.8214285714286,481.7705811453652,8892.169173635417,27.385182612412837,37429.0,98398.87617687404,334956.0,0.0,922659.0,76888.25,137422.63993318038,335237.0,40.0,1497160.0,55450.370370370365,117771.46626481831,335572.0,0.0,0,0,0,0,260,576,8.683106681984556,18.70207593042828,0.0,1300.0,316.97619047619054,446.1700150683697,199067.68234610924,0,1,0,0,0,0,0,0,2.0,324.7073170731707,156.46153846153845,402.82142857142856,0,0,0,0,0,0,13,2034,28,11279,-1,63280,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
192.168.100.15-62.67.238.152-49803-443-6,192.168.100.15,49803,62.67.238.152,443,6,21/01/2023 12:52:32 PM,366,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,65573.77049180328,8196.72131147541,183.0,7.071067811865476,188.0,178.0,178.0,178.0,0.0,178.0,178.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,5464.48087431694,2732.24043715847,0.0,24.0,6.0,12.0,144.0,0,0,0,0,1,0,0,0,0.0,8.0,12.0,0.0,0,0,0,0,0,0,2,24,1,0,-1,63789,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
192.168.100.15-38.113.165.140-49804-443-6,192.168.100.15,49804,38.113.165.140,443,6,21/01/2023 12:52:32 PM,263620,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.173355587588194,87873.33333333334,152020.07901699477,263411.0,94.0,115.0,115.0,0.0,115.0,115.0,263411.0,263411.0,0.0,263411.0,263411.0,0,0,0,0,40,56,7.586677793794097,7.586677793794097,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,multimedia
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,21/01/2023 12:50:14 PM,112564779,23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2132105638478622,4894120.826086957,9677310.33905106,29401412.0,146704.0,111610531.0,5073205.954545454,9865956.879824758,29401412.0,146704.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.2043267903542013,0.0088837734936609,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,23,0,1,0,-1,-1,0,0,6083796.0,150050.49231175485,6193175.0,5912735.0,29222694.33333333,155352.38118655706,29401412.0,29119943.0,No Label,multimedia
192.168.100.10-224.0.0.251-5353-5353-17,192.168.100.10,5353,224.0.0.251,5353,17,21/01/2023 12:50:59 PM,102100888,7,1,658.0,94.0,94.0,94.0,94.0,0.0,94.0,94.0,94.0,0.0,7.365264051376321,0.0783538728869821,14585841.142857144,9265805.22665376,20172529.0,922854.0,101178034.0,16863005.666666668,7711560.04596794,20172529.0,1124432.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,8,0.0685596387761093,0.0097942341108727,94.0,94.0,94.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,105.75,94.0,94.0,0,0,0,0,0,0,7,658,1,94,-1,-1,7,0,2047286.0,0.0,2047286.0,2047286.0,20010720.4,156165.32868501893,20172529.0,19763078.0,No Label,multimedia
