Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
149.154.175.52-192.168.100.15-443-57920-6,192.168.100.15,57920,149.154.175.52,443,6,19/01/2023 03:55:58 PM,628777,2,1,173.0,0.0,173.0,0.0,86.5,122.32947314527271,0.0,0.0,0.0,0.0,275.1372903270953,4.771166884284889,314388.5,46805.51916708114,347485.0,281292.0,281292.0,281292.0,0.0,281292.0,281292.0,0,0,0,0,0,0,0,0,0,40,32,3.180777922856593,1.5903889614282964,0.0,173.0,43.25,86.5,7482.249999999999,0,1,0,0,0,0,0,0,0.0,57.666666666666664,86.5,0.0,0,0,0,0,0,0,2,173,1,0,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-80-57922-6,192.168.100.15,57922,149.154.175.52,80,6,19/01/2023 03:55:58 PM,626062,2,1,431.0,0.0,227.0,204.0,215.5,16.263455967290593,0.0,0.0,0.0,0.0,688.4302193712443,4.791857675437896,313031.0,52614.40137452863,350235.0,275827.0,275827.0,275827.0,0.0,275827.0,275827.0,0,0,0,0,0,0,0,0,0,40,32,3.194571783625264,1.597285891812632,0.0,227.0,107.75,124.7727935088415,15568.25,0,1,0,0,0,0,0,0,0.0,143.66666666666666,215.5,0.0,0,0,0,0,0,0,2,431,1,0,-1,64240,2,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-80-57923-6,192.168.100.15,57923,149.154.175.53,80,6,19/01/2023 03:55:58 PM,627593,2,1,355.0,0.0,227.0,128.0,177.5,70.0035713374682,0.0,0.0,0.0,0.0,565.6532179294543,4.780168038840459,313796.5,51224.93654949706,350018.0,277575.0,277575.0,277575.0,0.0,277575.0,277575.0,0,0,0,0,0,0,0,0,0,40,32,3.186778692560306,1.593389346280153,0.0,227.0,88.75,110.16162368689622,12135.583333333336,0,1,0,0,0,0,0,0,0.0,118.33333333333333,177.5,0.0,0,0,0,0,0,0,2,355,1,0,-1,64240,2,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-80-57923-6,149.154.175.53,80,192.168.100.15,57923,6,19/01/2023 03:55:58 PM,193310,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.346076250581966,193310.0,0.0,193310.0,193310.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5.173038125290983,5.173038125290983,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,341,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-80-57926-6,192.168.100.15,57926,149.154.175.52,80,6,19/01/2023 03:56:00 PM,388162,2,1,331.0,0.0,227.0,104.0,165.5,86.97413408594535,0.0,0.0,0.0,0.0,852.7367439368098,7.728731818158398,194081.0,87626.08653819934,256042.0,132120.0,132120.0,132120.0,0.0,132120.0,132120.0,0,0,0,0,0,0,0,0,0,40,32,5.152487878772265,2.5762439393861327,0.0,227.0,82.75,107.94250012545261,11651.583333333336,0,1,0,0,0,0,0,0,0.0,110.33333333333333,165.5,0.0,0,0,0,0,0,0,2,331,1,0,-1,64240,2,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-80-57927-6,192.168.100.15,57927,149.154.175.53,80,6,19/01/2023 03:56:00 PM,384103,2,2,248.0,0.0,248.0,0.0,124.0,175.36248173426378,0.0,0.0,0.0,0.0,645.6601484497647,10.41387336209298,128034.33333333334,110715.63336915584,197364.0,348.0,197364.0,197364.0,0.0,197364.0,197364.0,186391.0,186391.0,0.0,186391.0,186391.0,0,0,0,0,40,64,5.20693668104649,5.20693668104649,0.0,248.0,49.6,110.90897168398958,12300.800000000001,0,1,0,0,0,0,0,0,1.0,62.0,124.0,0.0,0,0,0,0,0,0,2,248,2,0,-1,43400,1,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-80-57926-6,149.154.175.52,80,192.168.100.15,57926,6,19/01/2023 03:56:01 PM,86737,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0582104522868,86737.0,0.0,86737.0,86737.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11.5291052261434,11.5291052261434,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,341,0,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-443-57921-6,192.168.100.15,57921,149.154.175.53,443,6,19/01/2023 03:55:58 PM,4112637,110,1522,7746.0,1871283.0,668.0,0.0,70.41818181818181,149.04382594294117,1240.0,0.0,1229.4894875164246,94.96503502648068,456891.5272609763,396.82568629324686,2521.5432250153285,22794.208415193505,409880.0,0.0,3783958.0,34715.21100917431,76212.87987240608,410053.0,80.0,4066128.0,2673.3254437869764,31856.157862705644,796437.0,0.0,0,0,0,0,2200,30464,26.746829345745805,370.07885694750104,0.0,1240.0,1150.6607470912402,308.4607361858458,95148.02576831398,0,1,0,0,0,0,0,0,13.0,1151.3658088235295,70.41818181818182,1229.4894875164257,0,0,0,0,0,0,110,7746,1522,1871283,-1,777,22,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-443-57921-6,149.154.175.53,443,192.168.100.15,57921,6,19/01/2023 03:56:02 PM,94494,2,1,267.0,0.0,267.0,0.0,133.5,188.79751057680818,0.0,0.0,0.0,0.0,2825.5762270620357,31.748047495079053,47247.0,66817.34818144162,94494.0,0.0,94494.0,94494.0,0.0,94494.0,94494.0,0,0,0,0,0,0,0,0,0,40,20,21.16536499671937,10.582682498359684,0.0,267.0,66.75,133.5,17822.25,0,0,0,0,1,0,0,0,0.0,89.0,133.5,0.0,0,0,0,0,0,0,2,267,1,0,-1,860,1,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-443-57928-6,192.168.100.15,57928,149.154.175.52,443,6,19/01/2023 03:56:02 PM,427378,2,2,257.0,0.0,257.0,0.0,128.5,181.7264427649427,0.0,0.0,0.0,0.0,601.3412014656815,9.35939613176158,142459.33333333334,104596.27541329247,203974.0,21689.0,201715.0,201715.0,0.0,201715.0,201715.0,203974.0,203974.0,0.0,203974.0,203974.0,0,0,0,0,40,64,4.67969806588079,4.67969806588079,0.0,257.0,51.4,114.93389404348919,13209.8,0,1,0,0,0,0,0,0,1.0,64.25,128.5,0.0,0,0,0,0,0,0,2,257,2,0,-1,43400,1,0,0,0,0,0,0,0,0,0,No Label
