Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.15-66.110.49.115-54847-443-6,66.110.49.115,443,192.168.100.15,54847,6,19/01/2023 04:17:43 PM,1,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,3.1E7,3000000.0,0.5,0.7071067811865476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,20,2000000.0,1000000.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,63414,1,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-443-54954-6,192.168.100.15,54954,149.154.175.52,443,6,19/01/2023 04:17:38 PM,15738153,7,12,1004.0,6923.0,337.0,0.0,143.42857142857142,152.50011709597376,1240.0,0.0,576.9166666666666,591.9300416792717,503.68045093982755,1.2072572937879051,874341.8333333333,2535627.3670527944,9994744.0,0.0,1.5564024E7,2594004.0,4117989.6623947467,9994744.0,420.0,1.0943717E7,994883.3636363635,3059925.908497827,1.0216999E7,0.0,0,0,0,0,140,264,0.44477900297449136,0.7624782908134137,0.0,1240.0,396.35,512.468769266659,262624.2394736842,0,1,0,0,0,0,0,0,1.0,417.2105263157895,143.42857142857142,576.9166666666666,0,0,0,0,0,0,7,1004,12,6923,-1,349,4,0,726865.0,0.0,726865.0,726865.0,9994744.0,0.0,9994744.0,9994744.0,No Label
192.168.100.1-239.255.255.250-46552-1900-17,192.168.100.1,46552,239.255.255.250,1900,17,19/01/2023 04:15:48 PM,64957149,6,1,796.0,132.0,133.0,132.0,132.66666666666666,0.5163977794943211,132.0,132.0,132.0,0.0,14.286341292472672,0.10776335026649646,1.08261915E7,2.474501182450668E7,6.1322845E7,256321.0,6.3395733E7,1.2679146599999998E7,2.7196391180156592E7,6.1322845E7,256321.0,0,0,0,0,0,0,0,0,0,48,8,0.09236858594271125,0.015394764323785207,132.0,133.0,132.5,0.5345224838248444,0.28571428571428104,0,0,0,0,0,0,0,0,0.0,151.42857142857142,132.66666666666666,132.0,0,0,0,0,0,0,6,796,1,132,-1,-1,6,0,1818852.0,0.0,1818852.0,1818852.0,6.1322845E7,0.0,6.1322845E7,6.1322845E7,No Label
192.168.100.6-239.255.255.250-58930-1900-17,192.168.100.6,58930,239.255.255.250,1900,17,19/01/2023 04:13:31 PM,15968809,4,1,392.0,98.0,98.0,98.0,98.0,0.0,98.0,98.0,98.0,0.0,30.684818135153346,0.31311038913421785,3992202.25,2004701.9300056181,5014599.0,985266.0,1.4983543E7,4994514.333333333,21625.630079452792,5014599.0,4971622.0,0,0,0,0,0,0,0,0,0,32,8,0.25048831130737426,0.06262207782684356,98.0,98.0,98.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,117.6,98.0,98.0,0,0,0,0,0,0,4,392,1,98,-1,-1,4,0,5982588.0,0.0,5982588.0,5982588.0,5014599.0,0.0,5014599.0,5014599.0,No Label
192.168.100.15-192.168.100.56-54903-8008-6,192.168.100.15,54903,192.168.100.56,8008,6,19/01/2023 04:15:59 PM,90129092,2,4,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25,0.5,0.03328558996245075,0.0665711799249015,1.80258184E7,2.4635810584603954E7,4.5013772E7,9343.0,4.5057437E7,4.5057437E7,0.0,4.5057437E7,4.5057437E7,9.0129092E7,3.0043030666666668E7,2.597599763777802E7,4.5058998E7,48540.0,0,0,0,0,40,116,0.0221903933083005,0.044380786616601,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,1.0,0.25,0,0,0,0,0,0,2,2,4,1,-1,1369,2,0,46883.0,2343.3518728522185,48540.0,45226.0,4.50129915E7,1103.7936854322006,4.5013772E7,4.5012211E7,No Label
149.154.175.53-192.168.100.15-443-54969-6,192.168.100.15,54969,149.154.175.53,443,6,19/01/2023 04:19:08 PM,337894,3,2,341.0,0.0,341.0,0.0,113.66666666666666,196.8764417936624,0.0,0.0,0.0,0.0,1009.1922318833716,14.797540056940933,84473.5,97505.17370717651,186703.0,773.0,150418.0,75209.0,104371.78933025915,149011.0,1407.0,186703.0,186703.0,0.0,186703.0,186703.0,0,0,0,0,60,64,8.87852403416456,5.919016022776373,0.0,341.0,56.833333333333336,139.21266704817728,19380.166666666668,0,1,0,0,0,0,0,0,0.0,68.2,113.66666666666667,0.0,0,0,0,0,0,0,3,341,2,0,-1,43400,1,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-80-54974-6,192.168.100.15,54974,149.154.175.52,80,6,19/01/2023 04:19:08 PM,334565,3,2,274.0,0.0,226.0,0.0,91.33333333333333,119.06860767361536,0.0,0.0,0.0,0.0,818.9738914710146,14.944779041441873,83641.25,91248.07670804173,194447.0,779.0,139339.0,69669.5,73784.47129647268,121843.0,17496.0,194447.0,194447.0,0.0,194447.0,194447.0,0,0,0,0,60,64,8.966867424865123,5.9779116165767485,0.0,226.0,45.66666666666667,90.40722684977494,8173.466666666667,0,1,0,0,0,0,0,0,0.0,54.8,91.33333333333333,0.0,0,0,0,0,0,0,3,274,2,0,-1,43400,2,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-80-54971-6,192.168.100.15,54971,149.154.175.53,80,6,19/01/2023 04:19:08 PM,335171,3,2,274.0,0.0,226.0,0.0,91.33333333333333,119.06860767361536,0.0,0.0,0.0,0.0,817.4931602077745,14.91775839795209,83792.75,91467.77664793578,194924.0,627.0,139620.0,69810.0,73765.37941338064,121970.0,17650.0,194924.0,194924.0,0.0,194924.0,194924.0,0,0,0,0,60,64,8.950655038771254,5.967103359180836,0.0,226.0,45.66666666666667,90.40722684977494,8173.466666666667,0,1,0,0,0,0,0,0,0.0,54.8,91.33333333333333,0.0,0,0,0,0,0,0,3,274,2,0,-1,43400,2,0,0,0,0,0,0,0,0,0,No Label
149.154.175.52-192.168.100.15-80-54977-6,192.168.100.15,54977,149.154.175.52,80,6,19/01/2023 04:19:08 PM,361231,3,2,515.0,0.0,288.0,0.0,171.66666666666666,151.76407128610293,0.0,0.0,0.0,0.0,1425.6805202211326,13.841558448748861,90307.75,94679.74793085373,191774.0,893.0,168564.0,84282.0,92356.63090433735,149588.0,18976.0,191774.0,191774.0,0.0,191774.0,191774.0,0,0,0,0,60,64,8.304935069249316,5.536623379499544,0.0,288.0,85.83333333333333,134.3643057760009,18053.766666666666,0,1,0,0,0,0,0,0,0.0,103.0,171.66666666666666,0.0,0,0,0,0,0,0,3,515,2,0,-1,43400,2,0,0,0,0,0,0,0,0,0,No Label
149.154.175.53-192.168.100.15-80-54978-6,192.168.100.15,54978,149.154.175.53,80,6,19/01/2023 04:19:08 PM,361099,3,2,427.0,0.0,227.0,0.0,142.33333333333334,124.00134407873703,0.0,0.0,0.0,0.0,1182.5011977324777,13.84661824042714,90274.75,92794.29749136887,179647.0,808.0,180644.0,90322.0,99200.01033266075,160467.0,20177.0,179647.0,179647.0,0.0,179647.0,179647.0,0,0,0,0,60,64,8.307970944256285,5.538647296170856,0.0,227.0,71.16666666666666,110.58104117192362,12228.166666666666,0,1,0,0,0,0,0,0,0.0,85.4,142.33333333333334,0.0,0,0,0,0,0,0,3,427,2,0,-1,43400,2,0,0,0,0,0,0,0,0,0,No Label
